OBJECTID,Year,State,Agency,Unit ID,Fire Name,Local Incident Number,Alarm Date,Containment Date,Cause,Collection Method,Management Objective,GIS Calculated Acres,Comments,Complex Name,IRWIN ID,Fire Number (historical use),Complex ID,DECADES,Shape__Area,Shape__Length,Fire_Duration_Days,Large_Fire,Cause_Simplified
1,2025.0,CA,CDF,LDF,PALISADES,00000738,2025-01-07 08:00:00,2025-01-31 08:00:00,14,7.0,1.0,23448.88,,,{A7EA5D21-F882-44B8-BF64-44AB11059DC1},,,2020-January 2025,138651835.0,140231.608232476,24.0,1,14
2,2025.0,CA,CDF,LAC,EATON,00009087,2025-01-08 08:00:00,2025-01-31 08:00:00,14,7.0,1.0,14056.26,,,{72660ADC-B5EF-4D96-A33F-B4EA3740A4E3},,,2020-January 2025,83363928.8945313,104933.207223671,23.0,1,14
3,2025.0,CA,CDF,ANF,HUGHES,00250270,2025-01-22 08:00:00,2025-01-28 08:00:00,14,7.0,1.0,10396.8,,,{994072D2-E154-434A-BB95-6F6C94C40829},,,2020-January 2025,62160638.9140625,96698.599857731,6.0,1,14
4,2025.0,CA,CCO,VNC,KENNETH,00003155,2025-01-09 08:00:00,2025-02-04 08:00:00,14,2.0,1.0,998.7378,from OES Intel 24,,{842FB37B-7AC8-4700-BB9C-028BF753D149},,,2020-January 2025,5919678.1015625,15602.0048488298,26.0,1,14
5,2025.0,CA,CDF,LDF,HURST,00003294,2025-01-07 08:00:00,2025-01-09 08:00:00,14,7.0,1.0,831.3855,,,{F4E810AD-CDF3-4ED4-B63F-03D43785BA7B},,,2020-January 2025,4946081.875,16094.2170731712,2.0,1,14
6,2025.0,CA,CDF,LAC,LIDIA,00010648,2025-01-08 08:00:00,2025-01-11 08:00:00,14,7.0,1.0,347.7042,,,{E451AEAE-4177-4B78-BDE8-1E27B9D5D56C},,,2020-January 2025,2073567.0,11177.2465382584,3.0,1,14
7,2024.0,CA,CDF,BTU,PARK,00013761,2024-07-24 07:00:00,2024-09-07 07:00:00,7,7.0,1.0,429602.8,,,{22CAD814-48B1-4460-A368-F50F493F3740},,,2020-January 2025,2976278451.51563,543809.449227997,45.0,1,7
8,2024.0,CA,USF,SQF,BOREL,00001362,2024-07-24 07:00:00,2024-09-15 07:00:00,14,3.0,1.0,59288.54,3 miles SW of Lake Isabella,,{4CB2F74D-51F9-47E3-8CFA-43F75DCB8A26},,,2020-January 2025,362834454.824219,169207.775741037,53.0,1,14
9,2024.0,CA,USF,ANF,BRIDGE,00243334,2024-09-08 07:00:00,2024-12-31 08:00:00,14,7.0,1.0,55724.17,Clipped out Fork incident based on severity viewed in Hexagon imagery preceeding Bridge,,{928C4DA9-5AD6-4E0C-A3A4-2C36FFEF7223},,,2020-January 2025,331298783.972656,241654.717991543,114.04166666666667,1,14
10,2024.0,CA,USF,BDF,LINE,00012520,2024-09-06 07:00:00,2024-12-23 08:00:00,14,3.0,1.0,43975.61,"Baseline St x Aplin St, north of City of Highland",,{4A605BD7-E9EC-42A7-8A86-3BC47A795382},,,2020-January 2025,260553640.191406,222266.655247546,108.04166666666667,1,14
11,2024.0,CA,USF,LPF,LAKE,00001542,2024-07-05 07:00:00,2024-08-04 07:00:00,14,3.0,1.0,38610.38,North East of the City of Los Olivos,,{748283A9-D659-4FC4-9938-55DDE2484A19},,,2020-January 2025,232044496.441406,318377.121646276,30.0,1,14
12,2024.0,CA,USF,SQF,TROUT,00001240,2024-07-13 07:00:00,2024-09-06 07:00:00,1,3.0,1.0,23822.11,,,{192018FD-A111-425C-8F4C-775570A9FD3E},,,2020-January 2025,147526885.351563,86488.3397899506,55.0,1,1
13,2024.0,CA,CCO,ORC,AIRPORT,00127883,2024-09-09 07:00:00,2024-10-06 07:00:00,2,3.0,1.0,23526.35,,,{8DE09A3A-443F-4D3F-8A56-6A650C70C41A},,,2020-January 2025,137790737.367188,106263.443450057,27.0,1,2
14,2024.0,CA,CCO,VNC,MOUNTAIN,00094825,2024-11-06 08:00:00,2024-11-26 08:00:00,14,7.0,1.0,19902.06,,,{70E13D7C-9894-401C-8BB4-F0A3C2F4DF4C},,,2020-January 2025,118355318.890625,258807.527663524,20.0,1,14
15,2024.0,CA,CDF,LNU,SITES,00011083,2024-06-17 07:00:00,2024-06-26 07:00:00,11,7.0,1.0,19132.36,,,{669F10E0-1452-4080-906E-0C53EF6D2607,,,2020-January 2025,129345449.0,89398.2772758444,9.0,1,Other
16,2024.0,CA,CDF,FKU,BOONE,00019190,2024-09-03 07:00:00,2024-09-21 07:00:00,2,7.0,1.0,17614.5,,,{2C267901-16C4-4A9E-8C6C-91A59CB60FC9},,,2020-January 2025,109616688.113281,90232.8640572231,18.0,1,2
17,2024.0,CA,CDF,LAC,POST,00205253,2024-06-15 07:00:00,2024-06-26 07:00:00,14,7.0,1.0,15563.13,,,{0DC18BD0-8B1E-49B7-BF2D-75D5140D286B},,,2020-January 2025,93459776.3515625,105746.042468749,11.0,1,14
18,2024.0,CA,USF,KNF,SHELLY,00005159,2024-07-03 07:00:00,2024-08-06 07:00:00,14,7.0,1.0,15519.74,"After extensive investigation, the origin and cause remains undetermined.",,{C1E955D6-D77C-4ED5-9F80-6EC085CEB269},,,2020-January 2025,112042566.890625,177662.851471411,34.0,1,14
19,2024.0,CA,CDF,SCU,CORRAL,00004068,2024-06-01 07:00:00,2024-06-06 07:00:00,14,2.0,1.0,14166.77,,,{4FADC095-2960-4C73-B8D5-DC3E8053A0CF},,,2020-January 2025,91570764.703125,97807.6408129759,5.0,1,14
20,2024.0,CA,NPS,KNP,COFFEE POT,00000088,2024-08-03 07:00:00,2024-12-16 08:00:00,1,3.0,1.0,14103.92,,,{62A5DB78-38A8-4B54-8F7C-664DB0783E9C},,,2020-January 2025,88264175.5351563,88301.879222723,135.04166666666666,1,1
21,2024.0,CA,USF,SNF,BASIN,00000731,2024-06-26 07:00:00,2024-07-19 07:00:00,1,3.0,1.0,14020.15,,,{8DC61EB2-33DD-40D0-BAD6-DD08BDEECD6C},,,2020-January 2025,88868281.7265625,71700.9464270762,23.0,1,1
22,2024.0,CA,BLM,CND,HURRICANE,00001236,2024-07-13 07:00:00,2024-07-17 07:00:00,14,7.0,1.0,13279.43,Fire occurred during high lightening fire event.  ,,{3A93ED29-EB55-491C-90B2-6A12FC14D162},,,2020-January 2025,80662159.5859375,65540.7428611433,4.0,1,14
23,2024.0,CA,USF,SRF,BOISE,00000729,2024-08-09 07:00:00,2024-09-20 07:00:00,1,7.0,1.0,12912.65,,,{AAABEA8A-0E28-4D8D-BC93-19D27C9EE4BB},,,2020-January 2025,92520983.6289063,115246.641474266,42.0,1,1
24,2024.0,CA,USF,SQF,HAPPY,00001285,2024-07-16 07:00:00,2024-11-15 08:00:00,1,6.0,1.0,12543.15,,,{6F24A509-17CB-44A2-95C8-CFD7B65B8E64},,,2020-January 2025,79384213.4804688,166541.744211584,122.04166666666667,1,1
25,2024.0,CA,CDF,FKU,FRESNO JUNE LIGHTNING COMPLEX,00013250,2024-06-24 07:00:00,2024-07-04 07:00:00,1,2.0,1.0,10641.13,"Includes Bolt (CAFKU-013159), Flash(CAFKU-013162), Strike, and Hog Fire.",FRESNO JUNE LIGHTNING COMPLEX,{AFC5730E-2C3A-464B-8BCE-3967545980D3},,AFC5730E-2C3A-464B-8BCE-3967545980D3,2020-January 2025,67212263.6328125,58797.6376632474,10.0,1,1
26,2024.0,CA,CCO,KRN,RANCHO,02431290,2024-07-13 07:00:00,2024-07-15 07:00:00,14,1.0,1.0,9637.177,Auto-generated by EGP-IRWIN,,{87C660D3-0345-4FC9-AC5E-A223C89E45D3},,,2020-January 2025,58391993.96875,54852.9200158915,2.0,1,14
27,2024.0,CA,BLM,CND,LONG,00001281,2024-07-15 07:00:00,2024-09-17 07:00:00,1,7.0,1.0,9204.34,,,{60BFD61A-6E73-4EA5-9CFD-4F04FB53A0CA},,,2020-January 2025,56819593.703125,76439.1017200037,64.0,1,1
28,2024.0,CA,USF,SRF,HILL,00000586,2024-07-16 07:00:00,2024-08-14 07:00:00,1,7.0,1.0,7224.247,,,{BB9142F4-470D-4DD8-844E-0E5FD52303BA},,,2020-January 2025,51038776.4453125,66735.5414734239,29.0,1,1
